1774355844.6823075 [INFO] [launch]: All log files can be found below /home/focal/Desktop/2024_GroundStation/run_log/2026-03-24-05-37-24-679586-ubuntu-4110
1774355844.6826835 [INFO] [launch]: Default logging verbosity is set to INFO
1774355844.8240302 [INFO] [logical-1]: process started with pid [4115]
1774355847.4925017 [logical-1] [INFO] [1774355847.492156845] [Ground]: ros2 node launch success:Ground!
1774356000.6918707 [logical-1] [INFO] [1774356000.691541610] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1774356000.7096295 [logical-1] [INFO] [1774356000.709257846] [Ground]: MCU2 send back: Takeoffok
1774356008.6368434 [logical-1] [INFO] [1774356008.636542216] [Ground]: land 发送成功 → 飞行站已调用：land服务
1774356008.6540220 [logical-1] [INFO] [1774356008.653747648] [Ground]: MCU2 send back: Landok
1774356008.8050759 [logical-1] [INFO] [1774356008.804808808] [Ground]: land 发送成功 → 飞行站已调用：land服务
1774356008.8252006 [logical-1] [INFO] [1774356008.824881853] [Ground]: MCU2 send back: Landok
1774356008.9581990 [logical-1] [INFO] [1774356008.957884584] [Ground]: land 发送成功 → 飞行站已调用：land服务
1774356008.9766364 [logical-1] [INFO] [1774356008.976329232] [Ground]: MCU2 send back: Landok
1774356128.0957413 [logical-1] [INFO] [1774356128.095455380] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1774356128.1191435 [logical-1] [INFO] [1774356128.118878477] [Ground]: MCU2 send back: Takeoffok
1774356136.1908216 [logical-1] [INFO] [1774356136.190467671] [Ground]: MCU2 send back: Gdone*
1774356137.2126861 [logical-1] [INFO] [1774356137.212405769] [Ground]: MCU2 send back: Gdone*
1774356140.2766011 [logical-1] [INFO] [1774356140.276303091] [Ground]: MCU2 send back: Gdone*
1774356141.2977555 [logical-1] [INFO] [1774356141.297447499] [Ground]: MCU2 send back: Gdone*
1774356148.4486058 [logical-1] [INFO] [1774356148.448286923] [Ground]: MCU2 send back: Gdone*
1774356149.4691842 [logical-1] [INFO] [1774356149.468753209] [Ground]: MCU2 send back: Gdone*
1774356151.5129700 [logical-1] [INFO] [1774356151.512560654] [Ground]: MCU2 send back: Gdone*
1774356152.5335488 [logical-1] [INFO] [1774356152.533300210] [Ground]: MCU2 send back: Gdone*
1774356155.5960658 [logical-1] [INFO] [1774356155.595684140] [Ground]: MCU2 send back: Gdone*
1774356156.6166728 [logical-1] [INFO] [1774356156.616402478] [Ground]: MCU2 send back: Gdone*
1774356163.7705524 [logical-1] [INFO] [1774356163.770204820] [Ground]: MCU2 send back: Gdone*
1774356164.7913988 [logical-1] [INFO] [1774356164.791142203] [Ground]: MCU2 send back: Gdone*
1774356176.9797468 [logical-1] [INFO] [1774356176.979432872] [Ground]: land 发送成功 → 飞行站已调用：land服务
1774356176.9998596 [logical-1] [INFO] [1774356176.999578856] [Ground]: MCU2 send back: Landok
1774356177.5713387 [logical-1] [INFO] [1774356177.571022491] [Ground]: land 发送成功 → 飞行站已调用：land服务
1774356177.5933466 [logical-1] [INFO] [1774356177.593024793] [Ground]: MCU2 send back: Landok
1774357107.4821355 [logical-1] [INFO] [1774357107.481663091] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1774357107.5048289 [logical-1] [INFO] [1774357107.504506490] [Ground]: MCU2 send back: Takeoffok
1774357115.5780995 [logical-1] [INFO] [1774357115.577788181] [Ground]: MCU2 send back: Gdone*
1774357116.6027303 [logical-1] [INFO] [1774357116.602460516] [Ground]: MCU2 send back: Gdone*
1774357119.6596813 [logical-1] [INFO] [1774357119.659236421] [Ground]: MCU2 send back: Gdone*
1774357120.6824596 [logical-1] [INFO] [1774357120.682155660] [Ground]: MCU2 send back: Gdone*
1774357127.8334353 [logical-1] [INFO] [1774357127.833154183] [Ground]: MCU2 send back: Gdone*
1774357128.8544023 [logical-1] [INFO] [1774357128.854128743] [Ground]: MCU2 send back: Gdone*
1774357131.9226220 [logical-1] [INFO] [1774357131.921588314] [Ground]: MCU2 send back: Gdone*
1774357132.9408650 [logical-1] [INFO] [1774357132.940548509] [Ground]: MCU2 send back: Gdone*
1774357134.9830976 [logical-1] [INFO] [1774357134.982859182] [Ground]: MCU2 send back: Gdone*
1774357136.0042329 [logical-1] [INFO] [1774357136.003839476] [Ground]: MCU2 send back: Gdone*
1774357143.1556230 [logical-1] [INFO] [1774357143.155368125] [Ground]: MCU2 send back: Gdone*
1774357144.1769753 [logical-1] [INFO] [1774357144.176670412] [Ground]: MCU2 send back: Gdone*
1774357153.5888040 [logical-1] [INFO] [1774357153.588555621] [Ground]: land 发送成功 → 飞行站已调用：land服务
1774357153.6089437 [logical-1] [INFO] [1774357153.608312799] [Ground]: MCU2 send back: Landok
1774358485.7145619 [INFO] [logical-1]: process has finished cleanly [pid 4115]
