1775393495.3284717 [INFO] [launch]: All log files can be found below /home/focal/Desktop/2024_GroundStation/run_log/2026-04-05-05-51-35-323668-ubuntu-28422
1775393495.3287966 [INFO] [launch]: Default logging verbosity is set to INFO
1775393495.3932841 [INFO] [myMain-1]: process started with pid [28424]
1775393495.3934629 [INFO] [navNode-2]: process started with pid [28426]
1775393495.7080104 [navNode-2] [INFO] [1775393495.707703535] [navNode]: paths: [
1775393495.7086039 [navNode-2]   {"x": 0.00, "y": 0.00, "z": 0.70, "label": "TakeOff", "qrcode": "", "label2": ""       , "qrcode2": "" },
1775393495.7088993 [navNode-2]   {"x":-0.25, "y": 0.75, "z": 0.80, "label": "A6"     , "qrcode": "", "label2": ""       , "qrcode2": "" },
1775393495.7091246 [navNode-2]   {"x":-0.25, "y": 0.75, "z": 1.20, "label": "A3"     , "qrcode": "", "label2": ""       , "qrcode2": "" },
1775393495.7098193 [navNode-2]   {"x":-0.25, "y": 1.25, "z": 1.20, "label": "A2"     , "qrcode": "", "label2": ""       , "qrcode2": "" },
1775393495.7100766 [navNode-2]   {"x":-0.25, "y": 1.25, "z": 0.80, "label": "A5"     , "qrcode": "", "label2": ""       , "qrcode2": "" },
1775393495.7107666 [navNode-2]   {"x":-0.25, "y": 1.75, "z": 0.80, "label": "A4"     , "qrcode": "", "label2": ""       , "qrcode2": "" },
1775393495.7110388 [navNode-2]   {"x":-0.25, "y": 1.75, "z": 1.20, "label": "A1"     , "qrcode": "", "label2": ""       , "qrcode2": "" },
1775393495.7115707 [navNode-2]   {"x":-0.25, "y": 2.00, "z": 0.70, "label": "UpSide1", "qrcode": "", "label2": ""       , "qrcode2": "" },
1775393495.7118483 [navNode-2]   {"x": 0.75, "y": 2.00, "z": 0.70, "label": "LandPos", "qrcode": "", "label2": ""       , "qrcode2": "" }
1775393495.7120602 [navNode-2] ]
1775393495.7122707 [navNode-2] 
1775393495.7224789 [navNode-2] [INFO] [1775393495.715512604] [navNode]: 上位机导航节点启动成功
1775393496.2926080 [myMain-1] [INFO] [1775393496.292241566] [Ground]: ros2 node launch success:Ground!
1775393523.7887082 [myMain-1] [INFO] [1775393523.788282549] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1775393523.8095822 [navNode-2] [INFO] [1775393523.809230910] [navNode]: MCU2 send back: Takeoffok
1775393523.8098693 [myMain-1] [INFO] [1775393523.809296946] [Ground]: MCU2 send back: Takeoffok
1775393532.0459797 [myMain-1] [INFO] [1775393532.045621117] [Ground]: land 发送成功 → 飞行站已调用：land服务
1775393532.0687175 [navNode-2] [INFO] [1775393532.068418855] [navNode]: MCU2 send back: Landok
1775393532.0690923 [myMain-1] [INFO] [1775393532.068602536] [Ground]: MCU2 send back: Landok
1775393537.3831615 [myMain-1] [INFO] [1775393537.382815003] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1775393537.4041636 [navNode-2] [INFO] [1775393537.403845859] [navNode]: MCU2 send back: Takeoffok
1775393537.4051220 [myMain-1] [INFO] [1775393537.404911757] [Ground]: MCU2 send back: Takeoffok
1775393537.8276780 [myMain-1] [INFO] [1775393537.827348548] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1775393537.8437042 [myMain-1] [INFO] [1775393537.843370731] [Ground]: MCU2 send back: Takeoffok
1775393537.8453977 [navNode-2] [INFO] [1775393537.845183014] [navNode]: MCU2 send back: Takeoffok
1775393542.8631227 [myMain-1] [INFO] [1775393542.862800987] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1775393542.8863616 [navNode-2] [INFO] [1775393542.886078747] [navNode]: MCU2 send back: Takeoffok
1775393542.8867218 [myMain-1] [INFO] [1775393542.886113949] [Ground]: MCU2 send back: Takeoffok
1775393551.2423782 [myMain-1] [INFO] [1775393551.241917440] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1775393551.2648783 [myMain-1] [INFO] [1775393551.264540588] [Ground]: MCU2 send back: Takeoffok
1775393551.2652667 [navNode-2] [INFO] [1775393551.264665327] [navNode]: MCU2 send back: Takeoffok
